,song_id,input,reference,baseline_output,finetuned_output
190,2440694,"Well, I waited four long winters
Yes, I waited in the sun
I was crying all alone
You were out having fun
I gave you four years of chances
But you threw 'em all away
I gave you one thousand, four hundred sixty-one days
I gave you four years of chances",To try to be your wife,"Well, I waited four long winters
Yes, I waited in the sun
I was crying all alone
You were out having fun
I gave you four years of chances
But you threw 'em all away
I gave you one thousand, four hundred sixty-one days
I gave you four years of chances
But you threw 'em all away
I gave you one thousand, four hundred sixty-one","Well, I waited four long winters
Yes, I waited in the sun
I was crying all alone
You were out having fun
I gave you four years of chances
But you threw 'em all away
I gave you one thousand, four hundred sixty-one days
I gave you four years of chances
But you threw 'em all away
I gave you one thousand, four hundred sixty-one"
191,6898254,"I wish somebody'd get married
Or maybe even have a baby
Hope the home team finally makes
It all the way to state
Hell, it'd even be a blessing
If somebody got arrested
Yeah, whatever it takes
To forget our heartbreak",How can I ever find somebody new,"I wish somebody'd get married
Or maybe even have a baby
Hope the home team finally makes
It all the way to state
Hell, it'd even be a blessing
If somebody got arrested
Yeah, whatever it takes
To forget our heartbreak
I wish somebody'd get married
Or maybe even have a baby
Hope the home team finally","I wish somebody'd get married
Or maybe even have a baby
Hope the home team finally makes
It all the way to state
Hell, it'd even be a blessing
If somebody got arrested
Yeah, whatever it takes
To forget our heartbreak
I wish somebody'd get married
Or maybe even have a baby
Hope the home team finally"
192,7716692,"Your crooked halo shinin' in the sun
My heart is beatin' like a calfskin drum
Savor the laughter drippin' off your tongue
Jenny, you get to me
Somethin' perfect 'bout the way you move
God rest my mama, she would disapprove
You got the soul I wanna soothe
Jenny, you get to me",I'm not questionin' the hand of fate,"Your crooked halo shinin' in the sun
My heart is beatin' like a calfskin drum
Savor the laughter drippin' off your tongue
Jenny, you get to me
Somethin' perfect 'bout the way you move
God rest my mama, she would disapprove
You got the soul I wanna soothe
Jenny, you get to me","Your crooked halo shinin' in the sun
My heart is beatin' like a calfskin drum
Savor the laughter drippin' off your tongue
Jenny, you get to me
Somethin' perfect 'bout the way you move
God rest my mama, she would disapprove
You got the soul I wanna soothe
Jenny, you get to me
Somethin' perfect 'bout the way you move
God rest my mama,"
193,4728741,"Back against the wall
Feet  flat and standing tall
Smiling  wide with your little rag doll
Remember when you were so small
Nobody's gonna love you like I do
Nobody's  gonna love you like I do
'Til  I had a little baby, I never knew
That I could love someone like I love you",Yellow  hair like a marigold,"Back against the wall
Feet  flat and standing tall
Smiling  wide with your little rag doll
Remember when you were so small
Nobody's gonna love you like I do
Nobody's  gonna love you like I do
'Til  I had a little baby, I never knew
That I could love someone like I love you
I can't tell you how much I love you
I can't tell you how much I","Back against the wall
Feet  flat and standing tall
Smiling  wide with your little rag doll
Remember when you were so small
Nobody's gonna love you like I do
Nobody's  gonna love you like I do
'Til  I had a little baby, I never knew
That I could love someone like I love you
'Til I had a little baby, I never knew
That I could love someone like"
194,1111727,"You were the first thing that I thought of
When I thought I drank you off my mind
When I get lost in the liquor
You're the only one I find
And if I did the things I oughta
You still would not be mine
So I'll keep a tight grip on the bottle
Gettin' loose and killin' time",This killin' time is killin' me,"You were the first thing that I thought of
When I thought I drank you off my mind
When I get lost in the liquor
You're the only one I find
And if I did the things I oughta
You still would not be mine
So I'll keep a tight grip on the bottle
Gettin' loose and killin' time
You're the only one I find
And if I did the things I oughta
","You were the first thing that I thought of
When I thought I drank you off my mind
When I get lost in the liquor
You're the only one I find
And if I did the things I oughta
You still would not be mine
So I'll keep a tight grip on the bottle
Gettin' loose and killin' time
I'll keep a tight grip on the bottle
Gettin' loose and killin'"
195,5173213,"It's coming on Christmas
They're cutting down trees
They're putting up reindeer
And singing songs of joy and peace
I wish I had a river I could skate away on
It don't snow here
It stays pretty green
I'm gonna make a lot of money",Then I'm going to quit this crazy scene,"It's coming on Christmas
They're cutting down trees
They're putting up reindeer
And singing songs of joy and peace
I wish I had a river I could skate away on
It don't snow here
It stays pretty green
I'm gonna make a lot of money
I'm gonna make a lot of money","It's coming on Christmas
They're cutting down trees
They're putting up reindeer
And singing songs of joy and peace
I wish I had a river I could skate away on
It don't snow here
It stays pretty green
I'm gonna make a lot of money
I'm gonna make a lot of money
I'm gonna make a lot of money
I"
196,1787500,"All this talk, all this ticking, all this shit talk
Ticking in my head, I'm staying in bed today
And it doesn't matter what they'll have to say to me
No, I do not care just what they'll have to say to me
'Cause I am not listening
""Tick-tick-tock, ticky-ticky-tock, ticky-ticky-tock""
Goes the clock and I sit and I watch the hours go
Lying on my back I watch this big world float",And I do not care just what they'll have to say to me,"All this talk, all this ticking, all this shit talk
Ticking in my head, I'm staying in bed today
And it doesn't matter what they'll have to say to me
No, I do not care just what they'll have to say to me
'Cause I am not listening
""Tick-tick-tock, ticky-ticky-tock, ticky-ticky-tock""
Goes the clock and I sit and I watch the hours go
Lying on my back I watch this big world float away
Tick-tick-tock, ticky-ticky-tock, tick","All this talk, all this ticking, all this shit talk
Ticking in my head, I'm staying in bed today
And it doesn't matter what they'll have to say to me
No, I do not care just what they'll have to say to me
'Cause I am not listening
""Tick-tick-tock, ticky-ticky-tock, ticky-ticky-tock""
Goes the clock and I sit and I watch the hours go
Lying on my back I watch this big world float by
Ticking in my head, I'm staying in bed today
And it doesn't matter"
197,3431192,"I sit in my bedroom, strumming daddy's LG guitar
Staring out the window at all those country stars
Somehow they led me to a loaded down GMC
Oil checked and all gassed up, headed for Tennessee
No I never could've done it on my own
Country music made me do it
Held my hand and walked me through it
Led the way, kept me strong",It always does when I turn it on,"I sit in my bedroom, strumming daddy's LG guitar
Staring out the window at all those country stars
Somehow they led me to a loaded down GMC
Oil checked and all gassed up, headed for Tennessee
No I never could've done it on my own
Country music made me do it
Held my hand and walked me through it
Led the way, kept me strong
I'm not sure if I'll ever be able to do it on my own
But I","I sit in my bedroom, strumming daddy's LG guitar
Staring out the window at all those country stars
Somehow they led me to a loaded down GMC
Oil checked and all gassed up, headed for Tennessee
No I never could've done it on my own
Country music made me do it
Held my hand and walked me through it
Led the way, kept me strong through it
Took me where I needed to go
I never could've done it on my"
198,3885438,"How'd your really think this phone call would go?
I'm just sayin' you're gonna wish I didn't pick up at all
I almost left it ringin' I was gonna let you squall at the tone
But then I got to thinkin' there's a few more things you should know, girl
Like for instance
Next time it's 3 AM and you've got Tequila blues
You're wishin' I was him remember I'm glad she ain't you
These calls just waste my minutes don't even dial my digits","Me and you are finished, babe that bed you made keep sleepin' in it","How'd your really think this phone call would go?
I'm just sayin' you're gonna wish I didn't pick up at all
I almost left it ringin' I was gonna let you squall at the tone
But then I got to thinkin' there's a few more things you should know, girl
Like for instance
Next time it's 3 AM and you've got Tequila blues
You're wishin' I was him remember I'm glad she ain't you
These calls just waste my minutes don't even dial my digits
I'm just sayin' you're gonna wish I didn't pick up at all","How'd your really think this phone call would go?
I'm just sayin' you're gonna wish I didn't pick up at all
I almost left it ringin' I was gonna let you squall at the tone
But then I got to thinkin' there's a few more things you should know, girl
Like for instance
Next time it's 3 AM and you've got Tequila blues
You're wishin' I was him remember I'm glad she ain't you
These calls just waste my minutes don't even dial my digits
I'm just sayin' you're gonna wish I didn't pick up at all
I"
199,693270,"And sin kept my life in a whirl
Lust, greed and money and sensual pleasures
Mark the boundaries of my narrow world
I was headed for hell but as far as I fell
Your spirit still followed me down
Then when I hit the bottom
And cried out for mercy
You picked me up off the ground","Heart of my heart, rock of my soul","And sin kept my life in a whirl
Lust, greed and money and sensual pleasures
Mark the boundaries of my narrow world
I was headed for hell but as far as I fell
Your spirit still followed me down
Then when I hit the bottom
And cried out for mercy
You picked me up off the ground
And carried me to your arms
And carried me to your arms
And carried me to your","And sin kept my life in a whirl
Lust, greed and money and sensual pleasures
Mark the boundaries of my narrow world
I was headed for hell but as far as I fell
Your spirit still followed me down
Then when I hit the bottom
And cried out for mercy
You picked me up off the ground
And brought me back to life
I was headed for hell but as far as I fell
"
200,1362399,"You say your heart will never break
I hope so, for your sake
But happiness is sometimes hard
For hearts to cling to
You say he'll always be with you
I hope so, for your sake
But should he find somebody new
What would you do?","If you were wrong, would you confess?","You say your heart will never break
I hope so, for your sake
But happiness is sometimes hard
For hearts to cling to
You say he'll always be with you
I hope so, for your sake
But should he find somebody new
What would you do?","You say your heart will never break
I hope so, for your sake
But happiness is sometimes hard
For hearts to cling to
You say he'll always be with you
I hope so, for your sake
But should he find somebody new
What would you do?
I hope so, for your sake
But happiness is sometimes hard
For hearts to cling to"
201,2983955,"River in the rain
Sometimes at night you look like a long white train
Winding your way away somewhere
River I love you don't you care?
But if you're on the run
Winding some place, just tryna find the sun
Whether the sunshine, whether the rain
River I love you just the same","But sometimes, in a time of trouble","River in the rain
Sometimes at night you look like a long white train
Winding your way away somewhere
River I love you don't you care?
But if you're on the run
Winding some place, just tryna find the sun
Whether the sunshine, whether the rain
River I love you just the same
Winding your way away somewhere","River in the rain
Sometimes at night you look like a long white train
Winding your way away somewhere
River I love you don't you care?
But if you're on the run
Winding some place, just tryna find the sun
Whether the sunshine, whether the rain
River I love you just the same
River in the rain
River in the rain
River in the rain
River in the rain"
202,185345,"There was a time
I really used to care about what others thought
And the way they talk
In a crowd
I used to pull away when she would kiss my face
And touch my hair
She didn't care who saw
She was all over me",And I used to let it get all over me,"There was a time
I really used to care about what others thought
And the way they talk
In a crowd
I used to pull away when she would kiss my face
And touch my hair
She didn't care who saw
She was all over me
She was all over me
She was all over me","There was a time
I really used to care about what others thought
And the way they talk
In a crowd
I used to pull away when she would kiss my face
And touch my hair
She didn't care who saw
She was all over me
She was all over me
She was all over me
She was all over me
She"
203,6867538,"I ain't ridin' shotgun, I can drive myself
I can wear my own T-shirt, don't need nobody else's
I don't need nobody's help and
If I had too much to drink, I'd find my own way home
I can change my own tires, least I'd figure it out as I go
Yeah, I'm good at bein' alone
So why do I have this feeling?
A tightening in my chest?",I don't kow what this means,"I ain't ridin' shotgun, I can drive myself
I can wear my own T-shirt, don't need nobody else's
I don't need nobody's help and
If I had too much to drink, I'd find my own way home
I can change my own tires, least I'd figure it out as I go
Yeah, I'm good at bein' alone
So why do I have this feeling?
A tightening in my chest?
Why do I have this feeling?","I ain't ridin' shotgun, I can drive myself
I can wear my own T-shirt, don't need nobody else's
I don't need nobody's help and
If I had too much to drink, I'd find my own way home
I can change my own tires, least I'd figure it out as I go
Yeah, I'm good at bein' alone
So why do I have this feeling?
A tightening in my chest?
I don't need nobody's help and
If I had too much to drink, I'd"
204,720395,"Oh says Red Molly to James ""That's a fine motorbike
A girl could feel special on any such like""
Says James to Red Molly ""My hat's off to you
It's a Vincent Black Lightning, 1952
And I've seen you at the corners and cafes it seems
Red hair and black leather, my favorite color scheme""
And he pulled her on behind and down to Boxhill they did ride
Oh says James to Red Molly ""Here's a ring for your right hand",But I'll tell you in earnest I'm a dangerous man,"Oh says Red Molly to James ""That's a fine motorbike
A girl could feel special on any such like""
Says James to Red Molly ""My hat's off to you
It's a Vincent Black Lightning, 1952
And I've seen you at the corners and cafes it seems
Red hair and black leather, my favorite color scheme""
And he pulled her on behind and down to Boxhill they did ride
Oh says James to Red Molly ""Here's a ring for your right hand""","Oh says Red Molly to James ""That's a fine motorbike
A girl could feel special on any such like""
Says James to Red Molly ""My hat's off to you
It's a Vincent Black Lightning, 1952
And I've seen you at the corners and cafes it seems
Red hair and black leather, my favorite color scheme""
And he pulled her on behind and down to Boxhill they did ride
Oh says James to Red Molly ""Here's a ring for your right hand""
Says Red Molly to James ""That's a fine motorbike
A girl could feel"
205,7709063,"Once I had a rowdy streak
Wilder than a Texas game
Throwin' 'em down in old Fort Worth town
And wakin' in the Waco jail
I been sober fifteen years
I walk a real straight line
But if Tommy Duncan's voice was booze I'd stay drunk all the time
If I was a Gulf Coast voodoo queen",I'd make you fall in love with me,"Once I had a rowdy streak
Wilder than a Texas game
Throwin' 'em down in old Fort Worth town
And wakin' in the Waco jail
I been sober fifteen years
I walk a real straight line
But if Tommy Duncan's voice was booze I'd stay drunk all the time
If I was a Gulf Coast voodoo queen
I'd go to hell and back
If I was a Texas voodoo queen
I'd","Once I had a rowdy streak
Wilder than a Texas game
Throwin' 'em down in old Fort Worth town
And wakin' in the Waco jail
I been sober fifteen years
I walk a real straight line
But if Tommy Duncan's voice was booze I'd stay drunk all the time
If I was a Gulf Coast voodoo queen
If I was a Gulf Coast voodoo queen
If I was a Gulf Coast voodoo queen"
206,5587769,"The preacher man says it's the end of time
And the Mississippi River, she's a-goin' dry
The interest is up and the stock market's down
And you only get mugged if you go downtown
I live back in the woods, you see
My woman and the kids and the dogs and me
I got a shotgun, a rifle and a 4-wheel drive
And a country boy can survive, country folks can survive",I can plow a field all day long,"The preacher man says it's the end of time
And the Mississippi River, she's a-goin' dry
The interest is up and the stock market's down
And you only get mugged if you go downtown
I live back in the woods, you see
My woman and the kids and the dogs and me
I got a shotgun, a rifle and a 4-wheel drive
And a country boy can survive, country folks can survive","The preacher man says it's the end of time
And the Mississippi River, she's a-goin' dry
The interest is up and the stock market's down
And you only get mugged if you go downtown
I live back in the woods, you see
My woman and the kids and the dogs and me
I got a shotgun, a rifle and a 4-wheel drive
And a country boy can survive, country folks can survive
I got a shotgun, a rifle and a 4-wheel drive
And a country boy can"
207,732580,"If they'll play another love song
And if that Miller High Life sign stays dim
And if you'll keep my glass full of whiskey
I'll whisper words I wish I'd said to him
Just ask me to dance all the slow ones
Hold me close and take me across the floor
I'll gently lay my head on your shoulder
And pretend this never happened before",I don't want to hear a sad story,"If they'll play another love song
And if that Miller High Life sign stays dim
And if you'll keep my glass full of whiskey
I'll whisper words I wish I'd said to him
Just ask me to dance all the slow ones
Hold me close and take me across the floor
I'll gently lay my head on your shoulder
And pretend this never happened before","If they'll play another love song
And if that Miller High Life sign stays dim
And if you'll keep my glass full of whiskey
I'll whisper words I wish I'd said to him
Just ask me to dance all the slow ones
Hold me close and take me across the floor
I'll gently lay my head on your shoulder
And pretend this never happened before
If they'll play another love song
And if that Miller High Life sign stays dim
And"
208,686290,"I had a dream last night that I held you
And you still seemed as handsome to me
But when I awoke I found you missing
It's just another crazy dream for me
Crazy dreams linger on as I face an empty dawn
With no end to it all can I see
For I've surely reached the end
Lost your love to a friend",Just another crazy dream for me,"I had a dream last night that I held you
And you still seemed as handsome to me
But when I awoke I found you missing
It's just another crazy dream for me
Crazy dreams linger on as I face an empty dawn
With no end to it all can I see
For I've surely reached the end
Lost your love to a friend of mine
And now I'm lost to you too
I'm lost to you too
I","I had a dream last night that I held you
And you still seemed as handsome to me
But when I awoke I found you missing
It's just another crazy dream for me
Crazy dreams linger on as I face an empty dawn
With no end to it all can I see
For I've surely reached the end
Lost your love to a friend of mine
And now I'm left with nothing to say
Crazy dreams linger on as I"
209,7107719,"Truck stop coffee and a Carolina sunrise
One out the window and one on the wheel
Open interstate and sky full of blue skies
Just somethin' 'bout the way that freedom feels
I wasn't made for the settlin' down in a
White picket fence, water tank town
I got a soul like a black crow flyin'
I guess I always been the travelin' kind","I guess I always been the travelin' kind, yeah","Truck stop coffee and a Carolina sunrise
One out the window and one on the wheel
Open interstate and sky full of blue skies
Just somethin' 'bout the way that freedom feels
I wasn't made for the settlin' down in a
White picket fence, water tank town
I got a soul like a black crow flyin'
I guess I always been the travelin' kind of guy
I was born to be a trucker
I got a soul like a black crow","Truck stop coffee and a Carolina sunrise
One out the window and one on the wheel
Open interstate and sky full of blue skies
Just somethin' 'bout the way that freedom feels
I wasn't made for the settlin' down in a
White picket fence, water tank town
I got a soul like a black crow flyin'
I guess I always been the travelin' kind
Yeah, I guess I always been the travelin' kind
I guess I always been the"
210,7612086,"I lay my head by my pistol
And close my eyes and pray
These memories, they haunt me, baby
But the rot-gut whiskey
Make the pain go 'way, yeah
Many miles on these old roads
Many miles ahead
I been runnin' for so long, mama",If I slow down,"I lay my head by my pistol
And close my eyes and pray
These memories, they haunt me, baby
But the rot-gut whiskey
Make the pain go 'way, yeah
Many miles on these old roads
Many miles ahead
I been runnin' for so long, mama
I've been runnin' for so long
I've been runnin' for so long","I lay my head by my pistol
And close my eyes and pray
These memories, they haunt me, baby
But the rot-gut whiskey
Make the pain go 'way, yeah
Many miles on these old roads
Many miles ahead
I been runnin' for so long, mama
I don't know where I'm goin'
But I know I'm comin'"
211,4627807,"I got coffee on the burner
I got some thoughts on a page
I got a haze in my eyes and a feeling in my head
That I ain't slept in days
But it ain't sleep I'm missing
It's a new routine
From sticking to the road I gotta take
To get to where I wanna be",You took me to the edge,"I got coffee on the burner
I got some thoughts on a page
I got a haze in my eyes and a feeling in my head
That I ain't slept in days
But it ain't sleep I'm missing
It's a new routine
From sticking to the road I gotta take
To get to where I wanna be
It's a new routine
From sticking to the road I gotta take","I got coffee on the burner
I got some thoughts on a page
I got a haze in my eyes and a feeling in my head
That I ain't slept in days
But it ain't sleep I'm missing
It's a new routine
From sticking to the road I gotta take
To get to where I wanna be
It's a new routine
From sticking to the road I gotta take
To get to where"
212,7389817,"As night time falls these old four walls become a prison
Where I’m condemned to live on love maned alone
Oh I broke the only heart that ever loved me
Yes I built my own prison stone by stone
What a fool, (what a fool)
What a fool, (what a fool)
Looked in her eyes and told her lies, and she believed me
She trusted me to be just hers and hers alone",I never thought that she’d find out the truth and leave me,"As night time falls these old four walls become a prison
Where I’m condemned to live on love maned alone
Oh I broke the only heart that ever loved me
Yes I built my own prison stone by stone
What a fool, (what a fool)
What a fool, (what a fool)
Looked in her eyes and told her lies, and she believed me
She trusted me to be just hers and hers alone
And I was a fool, (what a fool)","As night time falls these old four walls become a prison
Where I’m condemned to live on love maned alone
Oh I broke the only heart that ever loved me
Yes I built my own prison stone by stone
What a fool, (what a fool)
What a fool, (what a fool)
Looked in her eyes and told her lies, and she believed me
She trusted me to be just hers and hers alone
Oh I broke the only heart that ever loved me
Yes I built my own prison stone by"
213,325519,"I love you, love you
I love you
Just in case you care, you know I do
I've done everything I know to do
To catch your eye and get a rise from you
I've said everything I know to say
Until I'm afraid that I'll scare you away
I've tried everything I know to try",And if you won't love me I'm going to die,"I love you, love you
I love you
Just in case you care, you know I do
I've done everything I know to do
To catch your eye and get a rise from you
I've said everything I know to say
Until I'm afraid that I'll scare you away
I've tried everything I know to try
I've done everything I know to do
To catch your eye and get a rise from you","I love you, love you
I love you
Just in case you care, you know I do
I've done everything I know to do
To catch your eye and get a rise from you
I've said everything I know to say
Until I'm afraid that I'll scare you away
I've tried everything I know to try
But I can't get enough of you
I love you, love you
I love you"
214,4591926,"Back when I was just 18, I met the man in black
He said ""Jon, it's nice to meet you, my name is Jack""
We hung out all the time, we became good friends
We ran around, we hit the town every damn weekend
I started missin' work 'cause I was dog-tired
That boss man had enough and good ol' Jack got me fired
Me and Jack don't get along no more
He's high up on the shelf while I'm lyin' on the floor",He makes me do things I've never done before,"Back when I was just 18, I met the man in black
He said ""Jon, it's nice to meet you, my name is Jack""
We hung out all the time, we became good friends
We ran around, we hit the town every damn weekend
I started missin' work 'cause I was dog-tired
That boss man had enough and good ol' Jack got me fired
Me and Jack don't get along no more
He's high up on the shelf while I'm lyin' on the floor","Back when I was just 18, I met the man in black
He said ""Jon, it's nice to meet you, my name is Jack""
We hung out all the time, we became good friends
We ran around, we hit the town every damn weekend
I started missin' work 'cause I was dog-tired
That boss man had enough and good ol' Jack got me fired
Me and Jack don't get along no more
He's high up on the shelf while I'm lyin' on the floor
And I don't know what I'm gonna do
I don't know what I'm gonna"
215,4864733,"Baby you a song
You make me wanna roll my windows down and cruise
Yeah, when I first saw that bikini top on her
She’s popping right out of the South Georgia water
Thought, ""Oh, good lord, she had them long tanned legs""
Couldn't help myself, so I walked up and said
Baby you a song
You make me wanna roll my windows down and cruise",Down a back road blowing stop signs through the middle,"Baby you a song
You make me wanna roll my windows down and cruise
Yeah, when I first saw that bikini top on her
She’s popping right out of the South Georgia water
Thought, ""Oh, good lord, she had them long tanned legs""
Couldn't help myself, so I walked up and said
Baby you a song
You make me wanna roll my windows down and cruise","Baby you a song
You make me wanna roll my windows down and cruise
Yeah, when I first saw that bikini top on her
She’s popping right out of the South Georgia water
Thought, ""Oh, good lord, she had them long tanned legs""
Couldn't help myself, so I walked up and said
Baby you a song
You make me wanna roll my windows down and cruise
Yeah, when I first saw that bikini top on her
She's popping right out of the"
216,6431945,"Hmm, yeah
Yeah, yeah, yeah, yeah
Mmm
I, I hope she makes you smile, mmm
The way you made me smile on the other end of a phone
In the middle of a highway driving alone
Oh baby, I, I hope you hear a song, mmm
That makes you sing along and gets you thinking 'bout her","Then the last several miles turn into a blur, yeah","Hmm, yeah
Yeah, yeah, yeah, yeah
Mmm
I, I hope she makes you smile, mmm
The way you made me smile on the other end of a phone
In the middle of a highway driving alone
Oh baby, I, I hope you hear a song, mmm
That makes you sing along and gets you thinking 'bout her, mmm","Hmm, yeah
Yeah, yeah, yeah, yeah
Mmm
I, I hope she makes you smile, mmm
The way you made me smile on the other end of a phone
In the middle of a highway driving alone
Oh baby, I, I hope you hear a song, mmm
That makes you sing along and gets you thinking 'bout her
I hope she makes you smile, mmm
The way you made me smile on the other"
217,6330819,"It ain't the bartender, it ain't the bottle
It ain't the headache I'll have tomorrow
It's a high-low life when you shake it on up
Fillin' my cup
It's all my people sittin' 'round a table
Real sad country on the radio
My go-to blues and my old faithful
Barely pushin' twenty, but still carryin' me home",It's one part happy and one part chaos,"It ain't the bartender, it ain't the bottle
It ain't the headache I'll have tomorrow
It's a high-low life when you shake it on up
Fillin' my cup
It's all my people sittin' 'round a table
Real sad country on the radio
My go-to blues and my old faithful
Barely pushin' twenty, but still carryin' me home","It ain't the bartender, it ain't the bottle
It ain't the headache I'll have tomorrow
It's a high-low life when you shake it on up
Fillin' my cup
It's all my people sittin' 'round a table
Real sad country on the radio
My go-to blues and my old faithful
Barely pushin' twenty, but still carryin' me home
It's a high-low life when you shake it on up
Fillin' my cup"
218,6661814,"Sittin' at the kitchen table
Sippin' on my coffee cup
You're wearin' my Tom Petty shirt
And I can't believe my luck
I don't know what I did right
To deserve somebody like you
But I'm gonna hold on so tight
'Cause you're my only truth",I would be a shell of a man,"Sittin' at the kitchen table
Sippin' on my coffee cup
You're wearin' my Tom Petty shirt
And I can't believe my luck
I don't know what I did right
To deserve somebody like you
But I'm gonna hold on so tight
'Cause you're my only truth and I'm gonna hold on so tight","Sittin' at the kitchen table
Sippin' on my coffee cup
You're wearin' my Tom Petty shirt
And I can't believe my luck
I don't know what I did right
To deserve somebody like you
But I'm gonna hold on so tight
'Cause you're my only truth
And I can't believe my luck
I don't know what I did right
To deserve"
219,747238,"Mr. stick head politician
I got some news for you
If you want to come and
Try to take my gun
Well you better be bulletproof
And don't try to tell my children
When and where to pray
No, we ain't that far gone",We're still standing on,"Mr. stick head politician
I got some news for you
If you want to come and
Try to take my gun
Well you better be bulletproof
And don't try to tell my children
When and where to pray
No, we ain't that far gone","Mr. stick head politician
I got some news for you
If you want to come and
Try to take my gun
Well you better be bulletproof
And don't try to tell my children
When and where to pray
No, we ain't that far gone
We ain't that far gone
We ain't that far gone
We ain't that far"
220,4929768,"I can hear the rain and I'm far from sleep
Come on over and rescue me
Been laying on it hard and its tough to breath
So hurry like the breeze and lay with me
A song is rolling in my mind on repeat
You enter softly, scene to scene
I can hear you singing as I drift to sleep
And the storm is fading like a midnight dream",When I'm upside down,"I can hear the rain and I'm far from sleep
Come on over and rescue me
Been laying on it hard and its tough to breath
So hurry like the breeze and lay with me
A song is rolling in my mind on repeat
You enter softly, scene to scene
I can hear you singing as I drift to sleep
And the storm is fading like a midnight dream","I can hear the rain and I'm far from sleep
Come on over and rescue me
Been laying on it hard and its tough to breath
So hurry like the breeze and lay with me
A song is rolling in my mind on repeat
You enter softly, scene to scene
I can hear you singing as I drift to sleep
And the storm is fading like a midnight dream
I can hear the rain and I'm far from sleep
Come on over and rescue me
"
221,449982,"Make the world go away
Get it off my shoulder
Say the things we used to say
And make the world, make it go away
Do you remember when you loved me
Before the world took you away
Well if you do, then forgive me
And make the world, make it go away",Now I'm sorry if I hurt you,"Make the world go away
Get it off my shoulder
Say the things we used to say
And make the world, make it go away
Do you remember when you loved me
Before the world took you away
Well if you do, then forgive me
And make the world, make it go away","Make the world go away
Get it off my shoulder
Say the things we used to say
And make the world, make it go away
Do you remember when you loved me
Before the world took you away
Well if you do, then forgive me
And make the world, make it go away
Do you remember when you loved me
Before the world took you away
Well if you do"
222,445377,"Back in my day i was always
Cruising the road on sunday
Making those tires spin your way
Yeah, it seems like yesterday
We'd go swinging on the front porch
You were all mine and i was all yours
Yeah, those are the days i miss
A ten minute ride, i could make it in five",This might sound crazy but maybe,"Back in my day i was always
Cruising the road on sunday
Making those tires spin your way
Yeah, it seems like yesterday
We'd go swinging on the front porch
You were all mine and i was all yours
Yeah, those are the days i miss
A ten minute ride, i could make it in five
I'm not sure if i'll ever get back to that
I'm not sure if i","Back in my day i was always
Cruising the road on sunday
Making those tires spin your way
Yeah, it seems like yesterday
We'd go swinging on the front porch
You were all mine and i was all yours
Yeah, those are the days i miss
A ten minute ride, i could make it in five
Yeah, it seems like yesterday
We'd go swinging on the front porch
You were all"
223,3451183,"Starin' through a spiderweb where the windshield used to be
What's left of the dashboard, the smell of gasoline
I can just make out one neon light south off through the trees
My feet took over walkin' 'fore my mind caught up with me
When I walked in my tab was already open
My drink was poured and my cigarette was smokin'
Somebody said ""Hey girl, where you been? Doncha know I been waitin' for ya?
""Got a band up there been dyin' to play a little 'Devil Went Down to Georgia'","""Rest that trav'lin' soul, looks like the road was long","Starin' through a spiderweb where the windshield used to be
What's left of the dashboard, the smell of gasoline
I can just make out one neon light south off through the trees
My feet took over walkin' 'fore my mind caught up with me
When I walked in my tab was already open
My drink was poured and my cigarette was smokin'
Somebody said ""Hey girl, where you been? Doncha know I been waitin' for ya?
""Got a band up there been dyin' to play a little 'Devil Went Down to Georgia'
'Cause I've been waiting for you to come home
'Cause I've been waiting for","Starin' through a spiderweb where the windshield used to be
What's left of the dashboard, the smell of gasoline
I can just make out one neon light south off through the trees
My feet took over walkin' 'fore my mind caught up with me
When I walked in my tab was already open
My drink was poured and my cigarette was smokin'
Somebody said ""Hey girl, where you been? Doncha know I been waitin' for ya?
""Got a band up there been dyin' to play a little 'Devil Went Down to Georgia'
""Hey girl, where you been? Doncha know I been waitin' for ya?"
224,4626360,"I was born in a town full of red pine trees
County sign says ""follow your dreams""
Westbound train makes the whole town shake
Friday night lights decide your fate
Born again in a church where the steeple's white
Preacher preach Book of John and my momma cried
Meaning of life was in verse 2
Didn't make sense 'til I found you",I could search the world from south to north,"I was born in a town full of red pine trees
County sign says ""follow your dreams""
Westbound train makes the whole town shake
Friday night lights decide your fate
Born again in a church where the steeple's white
Preacher preach Book of John and my momma cried
Meaning of life was in verse 2
Didn't make sense 'til I found you
I was born in a town full of red pine trees","I was born in a town full of red pine trees
County sign says ""follow your dreams""
Westbound train makes the whole town shake
Friday night lights decide your fate
Born again in a church where the steeple's white
Preacher preach Book of John and my momma cried
Meaning of life was in verse 2
Didn't make sense 'til I found you
I was born in a town full of red pine trees
County sign says ""follow your"
225,6660003,"Gotten too far off the map
Not so sure I can get back
Was I the one who drifted off?
Did I take advantage of good love?
'Cause I swear I did everything I could've done
But what good is love without the trust?
Does anybody wanna...
Put me back, put me back",On the map,"Gotten too far off the map
Not so sure I can get back
Was I the one who drifted off?
Did I take advantage of good love?
'Cause I swear I did everything I could've done
But what good is love without the trust?
Does anybody wanna...
Put me back, put me back, put me back on the road
I don't know what to do, I don't know","Gotten too far off the map
Not so sure I can get back
Was I the one who drifted off?
Did I take advantage of good love?
'Cause I swear I did everything I could've done
But what good is love without the trust?
Does anybody wanna...
Put me back, put me back
Put me back, put me back
Put me back, put me back
Put me back"
